# _tick,_time,frames,mean_episode_return_landlord,loss_landlord
0,1665968543.934277,0,-0.16845877468585968,1.0020339488983154
1,1665968548.8550246,3200,-0.5106363296508789,1.00993013381958
2,1665968553.9953945,6400,-0.6737575531005859,1.0094208717346191
3,1665968559.2130008,9600,-0.7553181648254395,1.0082004070281982
4,1665968564.1220329,12800,-0.8042545318603516,1.006990909576416
5,1665968569.2708182,16000,-0.836878776550293,1.0060195922851562
6,1665968574.4893866,19200,-0.8601818680763245,1.00517737865448
7,1665968579.5209506,22400,-0.8776590824127197,1.0042840242385864
# _tick,_time,frames,mean_episode_return_landlord,loss_landlord
0,1665970600.3032446,0,-0.2028469741344452,0.44580328464508057
1,1665970605.4779174,3200,-0.1882290542125702,0.4346494674682617
2,1665970610.5070124,6400,-0.1697750687599182,0.4448486566543579
3,1665970615.8504095,9600,-0.15781912207603455,0.4242161512374878
4,1665970620.865288,12800,-0.16222651302814484,0.4001651704311371
5,1665970626.1648471,16000,-0.1631607860326767,0.42961710691452026
6,1665970631.2564456,19200,-0.1787213683128357,0.38508331775665283
7,1665970636.4201403,22400,-0.17184056341648102,0.35867640376091003
8,1665970641.628342,25600,-0.18528683483600616,0.4273605942726135
9,1665970646.7016358,28800,-0.18717339634895325,0.4601331651210785
10,1665970651.7009265,32000,-0.18949998915195465,0.4292430877685547
11,1665970656.8046727,35200,-0.19095978140830994,0.4398747980594635
12,1665970661.9942336,38400,-0.18822483718395233,0.457364559173584
